welcomingrank,city_ascii,country,expert,port,safety,happiness,english,openness,overtourism,welcomingscore
81,Manila,Philippines,7.90,3.80,1.09,3.36,6.68,4.58,4.44,5.04
82,Denpasar,Indonesia,4.80,2.49,2.57,2.57,4.32,1.26,6.43,4.93
83,Nantes,France,5.80,1.09,4.93,5.98,5.11,5.37,3.61,4.83
84,Mexico City,Mexico,7.10,3.53,1.26,6.24,3.01,7.47,2.41,4.80
85,Kuala Lumpur,Malaysia,5.40,7.73,1.79,4.50,6.77,6.33,3.98,4.70
86,Kiev,Ukraine,5.80,2.57,4.23,1.00,3.10,8.78,3.62,4.61
87,Mumbai,India,7.00,4.93,2.40,1.26,5.89,7.03,2.15,4.53
88,Istanbul,Turkey,5.00,4.67,1.61,3.53,2.40,9.83,4.33,4.49
89,Rio de Janeiro,Brazil,5.00,3.10,1.26,6.59,3.27,7.73,4.14,4.48
90,Jeddah,Saudi Arabia,4.50,1.00,5.19,4.93,1.26,2.14,4.83,4.46
91,Sao Paulo,Brazil,5.90,1.79,1.52,6.59,3.27,6.50,2.89,4.40
92,Guangzhou,China,4.50,5.37,9.04,3.10,3.62,4.41,3.23,4.32
93,Nairobi,Kenya,5.30,3.36,2.05,1.44,8.51,2.75,3.80,4.31
94,Cairo,Egypt,3.90,1.87,1.87,1.70,2.31,5.19,5.90,4.28
95,Phnom Penh,Cambodia,6.10,5.72,1.70,1.09,1.09,1.52,3.25,4.27
96,Colombo,Sri Lanka,4.60,2.92,5.39,1.35,1.96,1.87,4.37,4.24
97,Moscow,Russia,4.50,8.08,2.75,4.06,4.06,9.65,3.27,4.12
98,Hanoi,Vietnam,5.50,4.76,2.48,2.05,4.50,5.72,2.40,3.98
99,Bucharest,Romania,5.00,2.66,6.50,3.71,5.98,4.93,3.22,3.82
100,Budapest,Hungary,4.30,4.58,2.31,3.18,6.16,7.64,2.89,3.74
